system:index,elevation_m,index,latitude,longitude,pet_mm,pr_annual_range_mm_mean,pr_mm,temp_annual_range_C_mean,tmean_C,vpd_kPa,.geo
00000000000000000280_0,113,346.0,-8.33000208693171,-65.72000158880357,915.9722222222222,396.1372549019608,183.08823529411765,139.47058823529412,262.77942,69.3970588235294,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000028f_0,113,347.0,-8.33000208693171,-65.72000158880357,915.9722222222222,396.1372549019608,183.08823529411765,139.47058823529412,262.77942,69.3970588235294,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002bf_0,113,348.0,-8.33000208693171,-65.72000158880357,915.9722222222222,396.1372549019608,183.08823529411765,139.47058823529412,262.77942,69.3970588235294,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053_0,16,349.0,-6.799999792574415,-35.08000215621877,1259.8954248366013,305.54901960784315,118.29575163398692,121.98039215686275,255.53268,79.00653594771242,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a_0,16,350.0,-6.799999792574415,-35.08000215621877,1259.8954248366013,305.54901960784315,118.29575163398692,121.98039215686275,255.53268,79.00653594771242,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a5_0,16,351.0,-6.799999792574415,-35.08000215621877,1259.8954248366013,305.54901960784315,118.29575163398692,121.98039215686275,255.53268,79.00653594771242,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001bf_0,16,352.0,-6.799999792574415,-35.08000215621877,1259.8954248366013,305.54901960784315,118.29575163398692,121.98039215686275,255.53268,79.00653594771242,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001fb_0,16,353.0,-6.799999792574415,-35.08000215621877,1259.8954248366013,305.54901960784315,118.29575163398692,121.98039215686275,255.53268,79.00653594771242,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000279_0,16,354.0,-6.799999792574415,-35.08000215621877,1259.8954248366013,305.54901960784315,118.29575163398692,121.98039215686275,255.53268,79.00653594771242,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002a3_0,16,355.0,-6.799999792574415,-35.08000215621877,1259.8954248366013,305.54901960784315,118.29575163398692,121.98039215686275,255.53268,79.00653594771242,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000215_0,81,356.0,2.829999697276801,-60.66999830015926,1163.6437908496732,386.0980392156863,143.51143790849673,128.35294117647058,282.4281,124.14869281045752,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000024f_0,81,357.0,2.829999697276801,-60.66999830015926,1163.6437908496732,386.0980392156863,143.51143790849673,128.35294117647058,282.4281,124.14869281045752,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000284_0,81,358.0,2.829999697276801,-60.66999830015926,1163.6437908496732,386.0980392156863,143.51143790849673,128.35294117647058,282.4281,124.14869281045752,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000296_0,81,359.0,2.829999697276801,-60.66999830015926,1163.6437908496732,386.0980392156863,143.51143790849673,128.35294117647058,282.4281,124.14869281045752,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac_0,117,360.0,1.7399991993682764,-62.289998631078255,1089.0,384.7647058823529,171.390522875817,124.17647058823529,270.0474,90.5375816993464,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c7_0,117,361.0,1.7399991993682764,-62.289998631078255,1089.0,384.7647058823529,171.390522875817,124.17647058823529,270.0474,90.5375816993464,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f9_0,117,362.0,1.7399991993682764,-62.289998631078255,1089.0,384.7647058823529,171.390522875817,124.17647058823529,270.0474,90.5375816993464,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000055_0,164,363.0,2.0000004635925985,-62.4300010268533,1083.4607843137255,388.5686274509804,175.1486928104575,124.98039215686275,268.058,89.75653594771242,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089_0,164,364.0,2.0000004635925985,-62.4300010268533,1083.4607843137255,388.5686274509804,175.1486928104575,124.98039215686275,268.058,89.75653594771242,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c8_0,164,365.0,2.0000004635925985,-62.4300010268533,1083.4607843137255,388.5686274509804,175.1486928104575,124.98039215686275,268.058,89.75653594771242,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001fc_0,164,366.0,2.0000004635925985,-62.4300010268533,1083.4607843137255,388.5686274509804,175.1486928104575,124.98039215686275,268.058,89.75653594771242,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000207_0,164,367.0,2.0000004635925985,-62.4300010268533,1083.4607843137255,388.5686274509804,175.1486928104575,124.98039215686275,268.058,89.75653594771242,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000216_0,164,368.0,2.0000004635925985,-62.4300010268533,1083.4607843137255,388.5686274509804,175.1486928104575,124.98039215686275,268.058,89.75653594771242,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000297_0,164,369.0,2.0000004635925985,-62.4300010268533,1083.4607843137255,388.5686274509804,175.1486928104575,124.98039215686275,268.058,89.75653594771242,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c0_0,164,370.0,2.0000004635925985,-62.4300010268533,1083.4607843137255,388.5686274509804,175.1486928104575,124.98039215686275,268.058,89.75653594771242,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000091_0,207,371.0,-4.330001159746513,-40.15000005398673,1283.078431372549,251.2156862745098,64.71895424836602,135.3921568627451,263.3701,124.63398692810458,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b6_0,207,372.0,-4.330001159746513,-40.15000005398673,1283.078431372549,251.2156862745098,64.71895424836602,135.3921568627451,263.3701,124.63398692810458,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000026c_0,207,373.0,-4.330001159746513,-40.15000005398673,1283.078431372549,251.2156862745098,64.71895424836602,135.3921568627451,263.3701,124.63398692810458,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002a4_0,207,374.0,-4.330001159746513,-40.15000005398673,1283.078431372549,251.2156862745098,64.71895424836602,135.3921568627451,263.3701,124.63398692810458,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002b8_0,207,375.0,-4.330001159746513,-40.15000005398673,1283.078431372549,251.2156862745098,64.71895424836602,135.3921568627451,263.3701,124.63398692810458,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050_0,690,376.0,-13.389998221036794,-46.33000197698898,1192.6797385620914,329.54901960784315,111.06699346405229,163.94117647058823,246.15523,122.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b5_0,690,377.0,-13.389998221036794,-46.33000197698898,1192.6797385620914,329.54901960784315,111.06699346405229,163.94117647058823,246.15523,122.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000162_0,690,378.0,-13.389998221036794,-46.33000197698898,1192.6797385620914,329.54901960784315,111.06699346405229,163.94117647058823,246.15523,122.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ac_0,690,379.0,-13.389998221036794,-46.33000197698898,1192.6797385620914,329.54901960784315,111.06699346405229,163.94117647058823,246.15523,122.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f_0,598,380.0,-12.739999519577042,-60.13000116258697,1008.3202614379085,394.2549019607843,160.23366013071896,187.6078431372549,236.88235,79.26960784313725,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b0_0,598,381.0,-12.739999519577042,-60.13000116258697,1008.3202614379085,394.2549019607843,160.23366013071896,187.6078431372549,236.88235,79.26960784313725,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000224_0,598,382.0,-12.739999519577042,-60.13000116258697,1008.3202614379085,394.2549019607843,160.23366013071896,187.6078431372549,236.88235,79.26960784313725,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000228_0,598,383.0,-12.739999519577042,-60.13000116258697,1008.3202614379085,394.2549019607843,160.23366013071896,187.6078431372549,236.88235,79.26960784313725,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000023b_0,1233,384.0,29.999998035686875,-104.00000181130987,1518.2712418300653,100.86274509803921,29.723856209150327,363.6666666666667,178.62418,155.41993464052288,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000023c_0,1233,385.0,29.999998035686875,-104.00000181130987,1518.2712418300653,100.86274509803921,29.723856209150327,363.6666666666667,178.62418,155.41993464052288,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000110_0,1259,386.0,40.19999995409903,-118.54999949859223,1177.0898692810458,29.92156862745098,11.741830065359476,436.9019607843137,116.89216,128.3218954248366,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ca_0,79,387.0,-2.0000004635925985,-54.07999987169687,1054.9281045751634,328.3137254901961,141.16176470588235,113.17647058823529,267.7745,76.83823529411765,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_0,387,388.0,-32.04000109482995,146.32000109745078,1293.312091503268,93.6078431372549,35.50653594771242,307.3137254901961,176.77287,132.0049019607843,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_0,444,389.0,-27.67000179863401,121.62999869643042,1805.5179738562092,67.29411764705883,18.127450980392158,328.8235294117647,217.33252,207.6797385620915,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_0,444,390.0,-27.67000179863401,121.62999869643042,1805.5179738562092,67.29411764705883,18.127450980392158,328.8235294117647,217.33252,207.6797385620915,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016_0,1330,391.0,24.23000153634687,120.94000185852126,813.4003267973857,603.2352941176471,217.67156862745097,183.13725490196077,151.29248,33.36764705882353,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b_0,53,392.0,53.79999953924785,-1.5500013625820006,518.15522875817,96.03921568627452,63.044117647058826,206.68627450980392,95.99592,31.212418300653596,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d_0,98,393.0,35.589998461903484,-119.34000059582698,1303.825163398693,53.76470588235294,14.202614379084967,350.9019607843137,173.53023,134.609477124183,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e_0,33,394.0,39.309999056639654,-123.79999792858459,738.8986928104575,326.11764705882354,91.46895424836602,176.90196078431373,117.71568,36.661764705882355,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f_0,507,395.0,48.88000134181675,-121.97000069265464,569.9820261437909,293.3137254901961,138.65522875816993,261.80392156862746,80.52206,39.46078431372549,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_0,98,396.0,35.589998461903484,-119.34000059582698,1303.825163398693,53.76470588235294,14.202614379084967,350.9019607843137,173.53023,134.609477124183,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021_0,131,397.0,33.97999989464737,-118.03000142924459,1245.3954248366013,150.0,33.75653594771242,246.33333333333334,182.13562,116.41830065359477,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023_0,1431,398.0,30.839999033033966,-115.27999800486663,1198.0735294117646,59.3921568627451,13.799019607843137,317.15686274509807,167.60866,110.47385620915033,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024_0,3,399.0,33.9199982308722,-118.41999886648001,1151.9281045751634,112.23529411764706,24.90359477124183,186.05882352941177,175.8219,88.80882352941177,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025_0,5,400.0,36.6400008233626,-121.92999809710416,773.7058823529412,235.64705882352942,62.10130718954248,155.27450980392157,130.32925,37.73692810457516,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028_0,208,401.0,-33.9199982308722,18.870001542467,1172.7745098039215,167.90196078431373,63.73202614379085,223.2941176470588,163.75163,78.12581699346406,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029_0,208,402.0,-33.9199982308722,18.870001542467,1172.7745098039215,167.90196078431373,63.73202614379085,223.2941176470588,163.75163,78.12581699346406,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033_0,1658,403.0,39.17000111996567,-108.14000067516906,994.5751633986928,46.05882352941177,24.622549019607842,452.03921568627453,100.78513,106.4983660130719,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f_0,4,404.0,29.94999813557459,-90.07000199359972,1092.1552287581699,241.2941176470588,133.65522875816993,280.4117647058824,211.65523,84.94281045751634,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069_0,262,405.0,-31.050000397145993,116.77999946733634,1458.4183006535948,81.94117647058823,29.351307189542485,291.7450980392157,186.42075,135.50980392156862,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c7_0,871,406.0,32.900001160401715,-109.82999997442504,1504.0506535947713,63.254901960784316,22.03921568627451,390.3137254901961,180.76062,176.6781045751634,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cd_0,320,407.0,34.11000052675953,-117.29000023212208,1395.3431372549019,104.62745098039215,24.606209150326798,309.88235294117646,188.38235,152.16339869281046,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cf_0,1729,408.0,40.99999835589564,-3.800001326736043,723.7712418300654,222.0,87.41993464052288,299.94117647058823,68.96568,50.5359477124183,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d1_0,53,409.0,53.79999953924785,-1.5500013625820006,518.15522875817,96.03921568627452,63.044117647058826,206.68627450980392,95.99592,31.212418300653596,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d2_0,415,410.0,-23.55999930756136,15.039999383843373,1553.5669934640523,10.745098039215685,1.7058823529411764,232.90196078431373,216.72386,173.8937908496732,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d3_0,415,411.0,-23.55999930756136,15.039999383843373,1553.5669934640523,10.745098039215685,1.7058823529411764,232.90196078431373,216.72386,173.8937908496732,"{""type"":""MultiPoint"",""coordinates"":[]}"
